pn_lot,post_num,is_winner,fz
0114500000822001117_,1254,0,44fz
0114500000823001518_,1254,0,44fz
0321300077122000006_,1254,0,44fz
0310200000323003132_,1254,0,44fz
0176200005522001801_,1254,0,44fz
0321200008523000506_,1254,0,44fz
0318400000723000018_,1254,0,44fz
0318300319423000003_,1254,0,44fz
0318300319423000001_,1254,0,44fz
0150200003923001479_,1254,0,44fz
0321300004423000051_,1254,0,44fz
0176200005522001828_,1254,0,44fz
0318300063423000030_,1254,0,44fz
0318300174023000002_,1254,0,44fz
0303300081922000003_,1254,0,44fz
0321300077122000038_,1254,0,44fz
0321300007522000304_,1254,0,44fz
0318300300222000019_,1254,0,44fz
0358300008422000186_,1254,0,44fz
0321300016823000027_,1254,0,44fz
0379300024223000025_,1254,0,44fz
0879500000123000035_,1254,0,44fz
0321300005422000197_,1254,0,44fz
0321200008723000052_,1254,0,44fz
0176200005523000304_,1254,0,44fz
0321300005422000198_,1254,0,44fz
0358300112222000109_,1254,0,44fz
0376300002822000019_,1254,0,44fz
0321100034622000031_,1254,0,44fz
0321300132722000011_,1254,0,44fz
0321300035823000033_,1254,0,44fz
32211652733_1,570082,0,223fz
0358100000622000089_,570082,0,44fz
0358300079422000637_,570082,0,44fz
0358300322922000001_,570082,0,44fz
0158100011722000006_,570082,0,44fz
0358100009122000002_,570082,0,44fz
0158100019722000002_,570082,0,44fz
0321300002922000014_,570082,0,44fz
0358300395222000080_,570082,0,44fz
0358100000622000030_,570082,0,44fz
0573100002522000239_,570082,0,44fz
0358300395222000077_,570082,0,44fz
0358100009122000038_,570082,0,44fz
MSP1512220837218_1,717351,1,com
MSP0311220827511_1,717351,1,com
32211371215_1,717351,1,223fz
32211344268_1,717351,1,223fz
32211459762_1,717351,1,223fz
32211369919_1,717351,1,223fz
0301300019422000329_,720722,1,44fz
0301300019422000188_,720722,1,44fz
0301300019422000174_,720722,1,44fz
0301300016023000070_,720722,1,44fz
32211148269_1,720722,1,223fz
0301300015123000007_,720722,1,44fz
0343200022623000018_,720722,1,44fz
0301300005723000227_,720722,1,44fz
32211415817_1,720722,1,223fz
0369100008523000008_,720722,1,44fz
0362300012023000031_,720722,1,44fz
32211614611_1,720722,1,223fz
0369100004723000511_,720722,1,44fz
0369100004723000505_,720722,1,44fz
0369100004723000498_,720722,1,44fz
0301300087522000053_,720722,1,44fz
0369100004723000443_,720722,1,44fz
0301300087522000076_,720722,1,44fz
0369100008523000284_,720722,1,44fz
0369200011323000080_,720722,1,44fz
0301000000223000405_,720722,1,44fz
0369100008522000297_,720722,1,44fz
0369100008523000186_,720722,1,44fz
0356200000822000223_,720722,1,44fz
0301300234123000082_,720722,1,44fz
0369100008522000021_,720722,1,44fz
0301300068223000016_,720722,1,44fz
0369300068723000143_,720722,1,44fz
32312179036_1,720722,1,223fz
0369100008523000035_,720722,1,44fz
32312108428_1,720722,1,223fz
0356300003822000051_,720722,1,44fz
0356300003822000022_,720722,1,44fz
0369100008523000250_,720722,1,44fz
